Time/S,Force/N
10.53,-2.224898
10.54,-2.225836
10.55,-2.226011
10.56,-2.228498
10.57,-2.230732
10.58,-2.229532
10.59,-2.226321
10.6,-2.225296
10.61,-2.227942
10.62,-2.230994
10.63,-2.231066
10.64,-2.22942
10.65,-2.229579
10.66,-2.231836
10.67,-2.232687
10.68,-2.229913
10.69,-2.225693
10.7,-2.224008
10.71,-2.226194
10.72,-2.229317
10.73,-2.229293
10.74,-2.226186
10.75,-2.224414
10.76,-2.226369
10.77,-2.228101
10.78,-2.224874
10.79,-2.217547
10.8,-2.211714
10.81,-2.212413
10.82,-2.217674
10.83,-2.220424
10.84,-2.21889
10.85,-2.217046
10.86,-2.216252
10.87,-2.216188
10.88,-2.217515
10.89,-2.218652
10.9,-2.218517
10.91,-2.220138
10.92,-2.224366
10.93,-2.227497
10.94,-2.228403
10.95,-2.229802
10.96,-2.232655
10.97,-2.23523
10.98,-2.236716
10.99,-2.23829
11,-2.241397
11.01,-2.246125
11.02,-2.250727
11.03,-2.252666
11.04,-2.252166
11.05,-2.252197
11.06,-2.254279
11.07,-2.257093
11.08,-2.259008
11.09,-2.260105
11.1,-2.262298
11.11,-2.267098
11.12,-2.27263
11.13,-2.275403
11.14,-2.275968
11.15,-2.27805
11.16,-2.281396
11.17,-2.281904
11.18,-2.277978
11.19,-2.270405
11.2,-2.259294
11.21,-2.242756
11.22,-2.21688
11.23,-2.179694
11.24,-2.133552
11.25,-2.081124
11.26,-2.023474
11.27,-1.962773
11.28,-1.90297
11.29,-1.847982
11.3,-1.800323
11.31,-1.760912
11.32,-1.72948
11.33,-1.70505
11.34,-1.686128
11.35,-1.671187
11.36,-1.659012
11.37,-1.64876
11.38,-1.639509
11.39,-1.629154
11.4,-1.612409
11.41,-1.577091
11.42,-1.502204
11.43,-1.366949
11.44,-1.167615
11.45,-0.9215117
11.46,-0.6522099
11.47,-0.37872
11.48,-0.1170794
11.49,0.1170715
11.5,0.3148635
11.51,0.4858971
11.52,0.6517331
11.53,0.8231242
11.54,0.9951512
11.55,1.159843
11.56,1.311366
11.57,1.444642
11.58,1.556341
11.59,1.646662
11.6,1.719379
11.61,1.77927
11.62,1.828845
11.63,1.868176
11.64,1.897581
11.65,1.919397
11.66,1.936666
11.67,1.9509
11.68,1.962034
11.69,1.969655
11.7,1.975044
11.71,1.981632
11.72,1.990541
11.73,1.997614
11.74,2.00038
11.75,2.003407
11.76,2.010449
11.77,2.018348
11.78,2.023308
11.79,2.026463
11.8,2.030833
11.81,2.036103
11.82,2.039655
11.83,2.041046
11.84,2.041729
11.85,2.041928
11.86,2.042007
11.87,2.043398
11.88,2.045155
11.89,2.045528
11.9,2.046617
11.91,2.050471
11.92,2.053825
11.93,2.052736
11.94,2.049025
11.95,2.047396
11.96,2.049081
11.97,2.05125
11.98,2.051489
11.99,2.050233
12,2.048548
12.01,2.04699
